lens,model,variable,bin_left,bin_right,n,detected,efficiency,ci_low,ci_high,target_fpp
SIS,pi_resnet,y,0.009000000000000001,0.068,348,251,0.7212643678160919,0.6719354133609986,0.7657617259021764,0.001
SIS,pi_resnet,y,0.068,0.126,329,192,0.5835866261398176,0.5296535713092765,0.635590266387124,0.001
SIS,pi_resnet,y,0.126,0.184,372,190,0.510752688172043,0.4601049857068388,0.5611805851429078,0.001
SIS,pi_resnet,y,0.184,0.242,321,139,0.43302180685358255,0.3799252121638259,0.4877025218202924,0.001
SIS,pi_resnet,y,0.242,0.3,380,165,0.4342105263157895,0.38527963573924306,0.4844582499138106,0.001
SIS,cqt_deit,y,0.009000000000000001,0.068,348,173,0.49712643678160917,0.44491368156727124,0.5494019400007395,0.001
SIS,cqt_deit,y,0.068,0.126,329,120,0.364741641337386,0.3145664517291236,0.4180389745439735,0.001
SIS,cqt_deit,y,0.126,0.184,372,133,0.3575268817204301,0.31050744516905743,0.4074587410718004,0.001
SIS,cqt_deit,y,0.184,0.242,321,75,0.2336448598130841,0.19067135663236623,0.28291800409517404,0.001
SIS,cqt_deit,y,0.242,0.3,380,72,0.18947368421052632,0.15325444715746636,0.23190837312494642,0.001
SIS,pi_resnet,flux_ratio,1.0190000000000001,1.135,321,234,0.7289719626168224,0.6778519744689727,0.7746764698178786,0.001
SIS,pi_resnet,flux_ratio,1.135,1.293,364,213,0.5851648351648352,0.533918143080868,0.6346327326109941,0.001
SIS,pi_resnet,flux_ratio,1.293,1.454,367,185,0.5040871934604905,0.4531575333562402,0.554932177027114,0.001
SIS,pi_resnet,flux_ratio,1.454,1.63,310,137,0.44193548387096776,0.3876983251729906,0.49759407648969817,0.001
SIS,pi_resnet,flux_ratio,1.63,1.855,385,166,0.43116883116883115,0.3826201026495353,0.4810775592182548,0.001
SIS,cqt_deit,flux_ratio,1.0190000000000001,1.135,321,157,0.48909657320872274,0.43486540603577584,0.5435856204267551,0.001
SIS,cqt_deit,flux_ratio,1.135,1.293,364,139,0.38186813186813184,0.33343697022834246,0.43276665381197793,0.001
SIS,cqt_deit,flux_ratio,1.293,1.454,367,129,0.35149863760217986,0.3044198642817186,0.4016539917897444,0.001
SIS,cqt_deit,flux_ratio,1.454,1.63,310,74,0.23870967741935484,0.1946364068163663,0.289179400665733,0.001
SIS,cqt_deit,flux_ratio,1.63,1.855,385,73,0.18961038961038962,0.15359445078760528,0.2317591565029957,0.001
SIS,pi_resnet,rho_min,3.302,41.925,381,44,0.11548556430446194,0.0871621053675376,0.15148541224174636,0.001
SIS,pi_resnet,rho_min,41.925,67.281,322,103,0.3198757763975155,0.27131062206658685,0.3726880255584438,0.001
SIS,pi_resnet,rho_min,67.281,104.0,366,212,0.5792349726775956,0.5280914024812626,0.628732551720474,0.001
SIS,pi_resnet,rho_min,104.0,174.242,345,265,0.7681159420289855,0.7207774541237071,0.8095494187927679,0.001
SIS,pi_resnet,rho_min,174.242,1124.78,328,310,0.9451219512195121,0.9149298228158445,0.9650084496282207,0.001
SIS,cqt_deit,rho_min,3.302,41.925,381,13,0.03412073490813648,0.020046914264756598,0.05749529990348846,0.001
SIS,cqt_deit,rho_min,41.925,67.281,322,53,0.16459627329192547,0.12809403973531086,0.20900689032509095,0.001
SIS,cqt_deit,rho_min,67.281,104.0,366,142,0.3879781420765027,0.3394656948238342,0.4388176802702622,0.001
SIS,cqt_deit,rho_min,104.0,174.242,345,172,0.4985507246376812,0.44609774973638533,0.5510356185181201,0.001
SIS,cqt_deit,rho_min,174.242,1124.78,328,192,0.5853658536585366,0.531361948124396,0.6373933370018631,0.001
